MethodIndex,MethodId,Branch,Estimator,StateCount,UniquePhaseCount,ObservationIndices,PhaseSetDeg,PowerDesignRank,PowerDesignCondition,Recoverable,Canonical,FailureReason
220,B4_K05_I01-02-03-05-07,Branch4,PowerREV,5,5,1/2/3/5/7,0/45/90/180/270,3,1.67454253273489,1,0,
221,B4_K05_I01-02-03-05-08,Branch4,PowerREV,5,5,1/2/3/5/8,0/45/90/180/315,3,2.00879722341795,1,0,
222,B4_K05_I01-02-03-05-09,Branch4,PowerREV,5,4,1/2/3/5/9,0/45/90/180/360,3,2.91812140144589,1,0,
223,B4_K05_I01-02-03-06-07,Branch4,PowerREV,5,5,1/2/3/6/7,0/45/90/225/270,3,2.04661993273673,1,0,
224,B4_K05_I01-02-03-06-08,Branch4,PowerREV,5,5,1/2/3/6/8,0/45/90/225/315,3,2.00879722341795,1,0,
225,B4_K05_I01-02-03-06-09,Branch4,PowerREV,5,4,1/2/3/6/9,0/45/90/225/360,3,2.26148950771424,1,0,
226,B4_K05_I01-02-03-07-08,Branch4,PowerREV,5,5,1/2/3/7/8,0/45/90/270/315,3,2.88280681689164,1,0,
227,B4_K05_I01-02-03-07-09,Branch4,PowerREV,5,4,1/2/3/7/9,0/45/90/270/360,3,3.0978718078797,1,0,
228,B4_K05_I01-02-03-08-09,Branch4,PowerREV,5,4,1/2/3/8/9,0/45/90/315/360,3,6.10061587650785,1,0,
229,B4_K05_I01-02-04-05-06,Branch4,PowerREV,5,5,1/2/4/5/6,0/45/135/180/225,3,2.04661993273673,1,0,
230,B4_K05_I01-02-04-05-07,Branch4,PowerREV,5,5,1/2/4/5/7,0/45/135/180/270,3,1.58337710684671,1,0,
231,B4_K05_I01-02-04-05-08,Branch4,PowerREV,5,5,1/2/4/5/8,0/45/135/180/315,3,2.04661993273673,1,0,
232,B4_K05_I01-02-04-05-09,Branch4,PowerREV,5,4,1/2/4/5/9,0/45/135/180/360,3,3.29235209211684,1,0,
233,B4_K05_I01-02-04-06-07,Branch4,PowerREV,5,5,1/2/4/6/7,0/45/135/225/270,3,1.58337710684671,1,0,
234,B4_K05_I01-02-04-06-08,Branch4,PowerREV,5,5,1/2/4/6/8,0/45/135/225/315,3,1.67454253273489,1,0,
235,B4_K05_I01-02-04-06-09,Branch4,PowerREV,5,4,1/2/4/6/9,0/45/135/225/360,3,1.98611700740176,1,0,
236,B4_K05_I01-02-04-07-08,Branch4,PowerREV,5,5,1/2/4/7/8,0/45/135/270/315,3,2.00879722341795,1,0,
237,B4_K05_I01-02-04-07-09,Branch4,PowerREV,5,4,1/2/4/7/9,0/45/135/270/360,3,2.12314043986554,1,0,
238,B4_K05_I01-02-04-08-09,Branch4,PowerREV,5,4,1/2/4/8/9,0/45/135/315/360,3,3.40021262929217,1,0,
239,B4_K05_I01-02-05-06-07,Branch4,PowerREV,5,5,1/2/5/6/7,0/45/180/225/270,3,2.04661993273673,1,0,
240,B4_K05_I01-02-05-06-08,Branch4,PowerREV,5,5,1/2/5/6/8,0/45/180/225/315,3,2.04661993273672,1,0,
241,B4_K05_I01-02-05-06-09,Branch4,PowerREV,5,4,1/2/5/6/9,0/45/180/225/360,3,2.57971353872077,1,0,
242,B4_K05_I01-02-05-07-08,Branch4,PowerREV,5,5,1/2/5/7/8,0/45/180/270/315,3,2.00879722341795,1,0,
243,B4_K05_I01-02-05-07-09,Branch4,PowerREV,5,4,1/2/5/7/9,0/45/180/270/360,3,2.17215895712461,1,0,
244,B4_K05_I01-02-05-08-09,Branch4,PowerREV,5,4,1/2/5/8/9,0/45/180/315/360,3,2.36666919133495,1,0,
245,B4_K05_I01-02-06-07-08,Branch4,PowerREV,5,5,1/2/6/7/8,0/45/225/270/315,3,2.88280681689164,1,0,
246,B4_K05_I01-02-06-07-09,Branch4,PowerREV,5,4,1/2/6/7/9,0/45/225/270/360,3,3.51709189816039,1,0,
247,B4_K05_I01-02-06-08-09,Branch4,PowerREV,5,4,1/2/6/8/9,0/45/225/315/360,3,3.40021262929217,1,0,
248,B4_K05_I01-02-07-08-09,Branch4,PowerREV,5,4,1/2/7/8/9,0/45/270/315/360,3,6.10061587650785,1,0,
249,B4_K05_I01-03-04-05-06,Branch4,PowerREV,5,5,1/3/4/5/6,0/90/135/180/225,3,2.00879722341795,1,0,
250,B4_K05_I01-03-04-05-07,Branch4,PowerREV,5,5,1/3/4/5/7,0/90/135/180/270,3,1.67454253273489,1,0,
251,B4_K05_I01-03-04-05-08,Branch4,PowerREV,5,5,1/3/4/5/8,0/90/135/180/315,3,2.04661993273673,1,0,
252,B4_K05_I01-03-04-05-09,Branch4,PowerREV,5,4,1/3/4/5/9,0/90/135/180/360,3,2.84043208893468,1,0,
253,B4_K05_I01-03-04-06-07,Branch4,PowerREV,5,5,1/3/4/6/7,0/90/135/225/270,3,1.58337710684671,1,0,
254,B4_K05_I01-03-04-06-08,Branch4,PowerREV,5,5,1/3/4/6/8,0/90/135/225/315,3,1.58337710684671,1,0,
255,B4_K05_I01-03-04-06-09,Branch4,PowerREV,5,4,1/3/4/6/9,0/90/135/225/360,3,1.7782356499392,1,0,
256,B4_K05_I01-03-04-07-08,Branch4,PowerREV,5,5,1/3/4/7/8,0/90/135/270/315,3,2.04661993273673,1,0,
257,B4_K05_I01-03-04-07-09,Branch4,PowerREV,5,4,1/3/4/7/9,0/90/135/270/360,3,1.93484743746429,1,0,
258,B4_K05_I01-03-04-08-09,Branch4,PowerREV,5,4,1/3/4/8/9,0/90/135/315/360,3,3.51709189816039,1,0,
259,B4_K05_I01-03-05-06-07,Branch4,PowerREV,5,5,1/3/5/6/7,0/90/180/225/270,3,1.67454253273489,1,0,
260,B4_K05_I01-03-05-06-08,Branch4,PowerREV,5,5,1/3/5/6/8,0/90/180/225/315,3,1.58337710684671,1,0,
261,B4_K05_I01-03-05-06-09,Branch4,PowerREV,5,4,1/3/5/6/9,0/90/180/225/360,3,1.75501763786498,1,0,
262,B4_K05_I01-03-05-07-08,Branch4,PowerREV,5,5,1/3/5/7/8,0/90/180/270/315,3,1.67454253273489,1,0,
263,B4_K05_I01-03-05-07-09,Branch4,PowerREV,5,4,1/3/5/7/9,0/90/180/270/360,3,1.67454253273489,1,0,
264,B4_K05_I01-03-05-08-09,Branch4,PowerREV,5,4,1/3/5/8/9,0/90/180/315/360,3,2.17215895712461,1,0,
265,B4_K05_I01-03-06-07-08,Branch4,PowerREV,5,5,1/3/6/7/8,0/90/225/270/315,3,2.00879722341795,1,0,
266,B4_K05_I01-03-06-07-09,Branch4,PowerREV,5,4,1/3/6/7/9,0/90/225/270/360,3,1.93484743746429,1,0,
267,B4_K05_I01-03-06-08-09,Branch4,PowerREV,5,4,1/3/6/8/9,0/90/225/315/360,3,2.12314043986553,1,0,
268,B4_K05_I01-03-07-08-09,Branch4,PowerREV,5,4,1/3/7/8/9,0/90/270/315/360,3,3.0978718078797,1,0,
269,B4_K05_I01-04-05-06-07,Branch4,PowerREV,5,5,1/4/5/6/7,0/135/180/225/270,3,2.00879722341795,1,0,
270,B4_K05_I01-04-05-06-08,Branch4,PowerREV,5,5,1/4/5/6/8,0/135/180/225/315,3,2.04661993273673,1,0,
271,B4_K05_I01-04-05-06-09,Branch4,PowerREV,5,4,1/4/5/6/9,0/135/180/225/360,3,2.00387376275808,1,0,
272,B4_K05_I01-04-05-07-08,Branch4,PowerREV,5,5,1/4/5/7/8,0/135/180/270/315,3,2.04661993273673,1,0,
273,B4_K05_I01-04-05-07-09,Branch4,PowerREV,5,4,1/4/5/7/9,0/135/180/270/360,3,1.75501763786498,1,0,
274,B4_K05_I01-04-05-08-09,Branch4,PowerREV,5,4,1/4/5/8/9,0/135/180/315/360,3,2.57971353872077,1,0,
275,B4_K05_I01-04-06-07-08,Branch4,PowerREV,5,5,1/4/6/7/8,0/135/225/270/315,3,2.00879722341795,1,0,
276,B4_K05_I01-04-06-07-09,Branch4,PowerREV,5,4,1/4/6/7/9,0/135/225/270/360,3,1.7782356499392,1,0,
277,B4_K05_I01-04-06-08-09,Branch4,PowerREV,5,4,1/4/6/8/9,0/135/225/315/360,3,1.98611700740176,1,0,
278,B4_K05_I01-04-07-08-09,Branch4,PowerREV,5,4,1/4/7/8/9,0/135/270/315/360,3,2.26148950771424,1,0,
279,B4_K05_I01-05-06-07-08,Branch4,PowerREV,5,5,1/5/6/7/8,0/180/225/270/315,3,2.88280681689163,1,0,
280,B4_K05_I01-05-06-07-09,Branch4,PowerREV,5,4,1/5/6/7/9,0/180/225/270/360,3,2.84043208893468,1,0,
281,B4_K05_I01-05-06-08-09,Branch4,PowerREV,5,4,1/5/6/8/9,0/180/225/315/360,3,3.29235209211684,1,0,
282,B4_K05_I01-05-07-08-09,Branch4,PowerREV,5,4,1/5/7/8/9,0/180/270/315/360,3,2.91812140144589,1,0,
283,B4_K05_I01-06-07-08-09,Branch4,PowerREV,5,4,1/6/7/8/9,0/225/270/315/360,3,5.40710480883445,1,0,
284,B4_K05_I02-03-04-05-06,Branch4,PowerREV,5,5,2/3/4/5/6,45/90/135/180/225,3,2.88280681689164,1,0,
285,B4_K05_I02-03-04-05-07,Branch4,PowerREV,5,5,2/3/4/5/7,45/90/135/180/270,3,2.00879722341795,1,0,
286,B4_K05_I02-03-04-05-08,Branch4,PowerREV,5,5,2/3/4/5/8,45/90/135/180/315,3,2.00879722341795,1,0,
287,B4_K05_I02-03-04-05-09,Branch4,PowerREV,5,5,2/3/4/5/9,45/90/135/180/360,3,2.88280681689164,1,0,
288,B4_K05_I02-03-04-06-07,Branch4,PowerREV,5,5,2/3/4/6/7,45/90/135/225/270,3,2.04661993273673,1,0,
289,B4_K05_I02-03-04-06-08,Branch4,PowerREV,5,5,2/3/4/6/8,45/90/135/225/315,3,1.67454253273489,1,0,
290,B4_K05_I02-03-04-06-09,Branch4,PowerREV,5,5,2/3/4/6/9,45/90/135/225/360,3,2.00879722341795,1,0,
291,B4_K05_I02-03-04-07-08,Branch4,PowerREV,5,5,2/3/4/7/8,45/90/135/270/315,3,2.04661993273673,1,0,
292,B4_K05_I02-03-04-07-09,Branch4,PowerREV,5,5,2/3/4/7/9,45/90/135/270/360,3,2.00879722341795,1,0,
293,B4_K05_I02-03-04-08-09,Branch4,PowerREV,5,5,2/3/4/8/9,45/90/135/315/360,3,2.88280681689163,1,0,
294,B4_K05_I02-03-05-06-07,Branch4,PowerREV,5,5,2/3/5/6/7,45/90/180/225/270,3,2.04661993273673,1,0,
295,B4_K05_I02-03-05-06-08,Branch4,PowerREV,5,5,2/3/5/6/8,45/90/180/225/315,3,1.58337710684671,1,0,
296,B4_K05_I02-03-05-06-09,Branch4,PowerREV,5,5,2/3/5/6/9,45/90/180/225/360,3,2.04661993273673,1,0,
297,B4_K05_I02-03-05-07-08,Branch4,PowerREV,5,5,2/3/5/7/8,45/90/180/270/315,3,1.58337710684671,1,0,
298,B4_K05_I02-03-05-07-09,Branch4,PowerREV,5,5,2/3/5/7/9,45/90/180/270/360,3,1.67454253273489,1,0,
299,B4_K05_I02-03-05-08-09,Branch4,PowerREV,5,5,2/3/5/8/9,45/90/180/315/360,3,2.00879722341795,1,0,
300,B4_K05_I02-03-06-07-08,Branch4,PowerREV,5,5,2/3/6/7/8,45/90/225/270/315,3,2.04661993273673,1,0,
301,B4_K05_I02-03-06-07-09,Branch4,PowerREV,5,5,2/3/6/7/9,45/90/225/270/360,3,2.04661993273673,1,0,
302,B4_K05_I02-03-06-08-09,Branch4,PowerREV,5,5,2/3/6/8/9,45/90/225/315/360,3,2.00879722341795,1,0,
303,B4_K05_I02-03-07-08-09,Branch4,PowerREV,5,5,2/3/7/8/9,45/90/270/315/360,3,2.88280681689163,1,0,
304,B4_K05_I02-04-05-06-07,Branch4,PowerREV,5,5,2/4/5/6/7,45/135/180/225/270,3,2.00879722341795,1,0,
305,B4_K05_I02-04-05-06-08,Branch4,PowerREV,5,5,2/4/5/6/8,45/135/180/225/315,3,1.67454253273489,1,0,
306,B4_K05_I02-04-05-06-09,Branch4,PowerREV,5,5,2/4/5/6/9,45/135/180/225/360,3,2.04661993273673,1,0,
307,B4_K05_I02-04-05-07-08,Branch4,PowerREV,5,5,2/4/5/7/8,45/135/180/270/315,3,1.58337710684671,1,0,
308,B4_K05_I02-04-05-07-09,Branch4,PowerREV,5,5,2/4/5/7/9,45/135/180/270/360,3,1.58337710684671,1,0,
309,B4_K05_I02-04-05-08-09,Branch4,PowerREV,5,5,2/4/5/8/9,45/135/180/315/360,3,2.04661993273673,1,0,
310,B4_K05_I02-04-06-07-08,Branch4,PowerREV,5,5,2/4/6/7/8,45/135/225/270/315,3,1.67454253273489,1,0,
311,B4_K05_I02-04-06-07-09,Branch4,PowerREV,5,5,2/4/6/7/9,45/135/225/270/360,3,1.58337710684671,1,0,
312,B4_K05_I02-04-06-08-09,Branch4,PowerREV,5,5,2/4/6/8/9,45/135/225/315/360,3,1.67454253273489,1,0,
313,B4_K05_I02-04-07-08-09,Branch4,PowerREV,5,5,2/4/7/8/9,45/135/270/315/360,3,2.00879722341795,1,0,
314,B4_K05_I02-05-06-07-08,Branch4,PowerREV,5,5,2/5/6/7/8,45/180/225/270/315,3,2.00879722341795,1,0,
315,B4_K05_I02-05-06-07-09,Branch4,PowerREV,5,5,2/5/6/7/9,45/180/225/270/360,3,2.04661993273673,1,0,
316,B4_K05_I02-05-06-08-09,Branch4,PowerREV,5,5,2/5/6/8/9,45/180/225/315/360,3,2.04661993273673,1,0,
317,B4_K05_I02-05-07-08-09,Branch4,PowerREV,5,5,2/5/7/8/9,45/180/270/315/360,3,2.00879722341795,1,0,
318,B4_K05_I02-06-07-08-09,Branch4,PowerREV,5,5,2/6/7/8/9,45/225/270/315/360,3,2.88280681689163,1,0,
319,B4_K05_I03-04-05-06-07,Branch4,PowerREV,5,5,3/4/5/6/7,90/135/180/225/270,3,2.88280681689163,1,0,
320,B4_K05_I03-04-05-06-08,Branch4,PowerREV,5,5,3/4/5/6/8,90/135/180/225/315,3,2.00879722341795,1,0,
321,B4_K05_I03-04-05-06-09,Branch4,PowerREV,5,5,3/4/5/6/9,90/135/180/225/360,3,2.00879722341795,1,0,
322,B4_K05_I03-04-05-07-08,Branch4,PowerREV,5,5,3/4/5/7/8,90/135/180/270/315,3,2.04661993273673,1,0,
323,B4_K05_I03-04-05-07-09,Branch4,PowerREV,5,5,3/4/5/7/9,90/135/180/270/360,3,1.67454253273489,1,0,
324,B4_K05_I03-04-05-08-09,Branch4,PowerREV,5,5,3/4/5/8/9,90/135/180/315/360,3,2.04661993273673,1,0,
325,B4_K05_I03-04-06-07-08,Branch4,PowerREV,5,5,3/4/6/7/8,90/135/225/270/315,3,2.04661993273673,1,0,
326,B4_K05_I03-04-06-07-09,Branch4,PowerREV,5,5,3/4/6/7/9,90/135/225/270/360,3,1.58337710684671,1,0,
327,B4_K05_I03-04-06-08-09,Branch4,PowerREV,5,5,3/4/6/8/9,90/135/225/315/360,3,1.58337710684671,1,0,
328,B4_K05_I03-04-07-08-09,Branch4,PowerREV,5,5,3/4/7/8/9,90/135/270/315/360,3,2.04661993273673,1,0,
329,B4_K05_I03-05-06-07-08,Branch4,PowerREV,5,5,3/5/6/7/8,90/180/225/270/315,3,2.00879722341795,1,0,
330,B4_K05_I03-05-06-07-09,Branch4,PowerREV,5,5,3/5/6/7/9,90/180/225/270/360,3,1.67454253273489,1,0,
331,B4_K05_I03-05-06-08-09,Branch4,PowerREV,5,5,3/5/6/8/9,90/180/225/315/360,3,1.58337710684671,1,0,
332,B4_K05_I03-05-07-08-09,Branch4,PowerREV,5,5,3/5/7/8/9,90/180/270/315/360,3,1.67454253273489,1,0,
333,B4_K05_I03-06-07-08-09,Branch4,PowerREV,5,5,3/6/7/8/9,90/225/270/315/360,3,2.00879722341795,1,0,
334,B4_K05_I04-05-06-07-08,Branch4,PowerREV,5,5,4/5/6/7/8,135/180/225/270/315,3,2.88280681689163,1,0,
335,B4_K05_I04-05-06-07-09,Branch4,PowerREV,5,5,4/5/6/7/9,135/180/225/270/360,3,2.00879722341795,1,0,
336,B4_K05_I04-05-06-08-09,Branch4,PowerREV,5,5,4/5/6/8/9,135/180/225/315/360,3,2.04661993273673,1,0,
337,B4_K05_I04-05-07-08-09,Branch4,PowerREV,5,5,4/5/7/8/9,135/180/270/315/360,3,2.04661993273672,1,0,
338,B4_K05_I04-06-07-08-09,Branch4,PowerREV,5,5,4/6/7/8/9,135/225/270/315/360,3,2.00879722341795,1,0,
339,B4_K05_I05-06-07-08-09,Branch4,PowerREV,5,5,5/6/7/8/9,180/225/270/315/360,3,2.88280681689163,1,0,
340,B4_K06_I01-02-03-04-05-06,Branch4,PowerREV,6,6,1/2/3/4/5/6,0/45/90/135/180/225,3,2.03964463712676,1,0,
341,B4_K06_I01-02-03-04-05-07,Branch4,PowerREV,6,6,1/2/3/4/5/7,0/45/90/135/180/270,3,1.64038820320221,1,0,
342,B4_K06_I01-02-03-04-05-08,Branch4,PowerREV,6,6,1/2/3/4/5/8,0/45/90/135/180/315,3,2.03964463712676,1,0,
343,B4_K06_I01-02-03-04-05-09,Branch4,PowerREV,6,5,1/2/3/4/5/9,0/45/90/135/180/360,3,2.95082909282659,1,0,
344,B4_K06_I01-02-03-04-06-07,Branch4,PowerREV,6,6,1/2/3/4/6/7,0/45/90/135/225/270,3,1.62089605899677,1,0,
345,B4_K06_I01-02-03-04-06-08,Branch4,PowerREV,6,6,1/2/3/4/6/8,0/45/90/135/225/315,3,1.64038820320221,1,0,
346,B4_K06_I01-02-03-04-06-09,Branch4,PowerREV,6,5,1/2/3/4/6/9,0/45/90/135/225/360,3,2.04932849753856,1,0,
347,B4_K06_I01-02-03-04-07-08,Branch4,PowerREV,6,6,1/2/3/4/7/8,0/45/90/135/270/315,3,2.03964463712676,1,0,
348,B4_K06_I01-02-03-04-07-09,Branch4,PowerREV,6,5,1/2/3/4/7/9,0/45/90/135/270/360,3,2.12819430326551,1,0,
349,B4_K06_I01-02-03-04-08-09,Branch4,PowerREV,6,5,1/2/3/4/8/9,0/45/90/135/315/360,3,3.40425677542816,1,0,
350,B4_K06_I01-02-03-05-06-07,Branch4,PowerREV,6,6,1/2/3/5/6/7,0/45/90/180/225/270,3,1.63299316185545,1,0,
351,B4_K06_I01-02-03-05-06-08,Branch4,PowerREV,6,6,1/2/3/5/6/8,0/45/90/180/225/315,3,1.62089605899677,1,0,
352,B4_K06_I01-02-03-05-06-09,Branch4,PowerREV,6,5,1/2/3/5/6/9,0/45/90/180/225/360,3,1.96051469591397,1,0,
353,B4_K06_I01-02-03-05-07-08,Branch4,PowerREV,6,6,1/2/3/5/7/8,0/45/90/180/270/315,3,1.64038820320221,1,0,
354,B4_K06_I01-02-03-05-07-09,Branch4,PowerREV,6,5,1/2/3/5/7/9,0/45/90/180/270/360,3,1.86338873475906,1,0,
355,B4_K06_I01-02-03-05-08-09,Branch4,PowerREV,6,5,1/2/3/5/8/9,0/45/90/180/315/360,3,2.3325175661839,1,0,
356,B4_K06_I01-02-03-06-07-08,Branch4,PowerREV,6,6,1/2/3/6/7/8,0/45/90/225/270/315,3,2.03964463712676,1,0,
357,B4_K06_I01-02-03-06-07-09,Branch4,PowerREV,6,5,1/2/3/6/7/9,0/45/90/225/270/360,3,2.17389700605903,1,0,
358,B4_K06_I01-02-03-06-08-09,Branch4,PowerREV,6,5,1/2/3/6/8/9,0/45/90/225/315/360,3,2.30897607341567,1,0,
359,B4_K06_I01-02-03-07-08-09,Branch4,PowerREV,6,5,1/2/3/7/8/9,0/45/90/270/315/360,3,3.2674181521707,1,0,
360,B4_K06_I01-02-04-05-06-07,Branch4,PowerREV,6,6,1/2/4/5/6/7,0/45/135/180/225/270,3,1.62089605899677,1,0,
361,B4_K06_I01-02-04-05-06-08,Branch4,PowerREV,6,6,1/2/4/5/6/8,0/45/135/180/225/315,3,1.63299316185545,1,0,
362,B4_K06_I01-02-04-05-06-09,Branch4,PowerREV,6,5,1/2/4/5/6/9,0/45/135/180/225/360,3,2.01978604082007,1,0,
363,B4_K06_I01-02-04-05-07-08,Branch4,PowerREV,6,6,1/2/4/5/7/8,0/45/135/180/270/315,3,1.62089605899677,1,0,
364,B4_K06_I01-02-04-05-07-09,Branch4,PowerREV,6,5,1/2/4/5/7/9,0/45/135/180/270/360,3,1.74797652248497,1,0,
365,B4_K06_I01-02-04-05-08-09,Branch4,PowerREV,6,5,1/2/4/5/8/9,0/45/135/180/315/360,3,2.31838299863611,1,0,
366,B4_K06_I01-02-04-06-07-08,Branch4,PowerREV,6,6,1/2/4/6/7/8,0/45/135/225/270/315,3,1.64038820320221,1,0,
367,B4_K06_I01-02-04-06-07-09,Branch4,PowerREV,6,5,1/2/4/6/7/9,0/45/135/225/270/360,3,1.75792179601342,1,0,
368,B4_K06_I01-02-04-06-08-09,Branch4,PowerREV,6,5,1/2/4/6/8/9,0/45/135/225/315/360,3,1.9457284407887,1,0,
369,B4_K06_I01-02-04-07-08-09,Branch4,PowerREV,6,5,1/2/4/7/8/9,0/45/135/270/315/360,3,2.30897607341567,1,0,
370,B4_K06_I01-02-05-06-07-08,Branch4,PowerREV,6,6,1/2/5/6/7/8,0/45/180/225/270/315,3,2.03964463712676,1,0,
371,B4_K06_I01-02-05-06-07-09,Branch4,PowerREV,6,5,1/2/5/6/7/9,0/45/180/225/270/360,3,2.25003971118362,1,0,
372,B4_K06_I01-02-05-06-08-09,Branch4,PowerREV,6,5,1/2/5/6/8/9,0/45/180/225/315/360,3,2.31838299863611,1,0,
373,B4_K06_I01-02-05-07-08-09,Branch4,PowerREV,6,5,1/2/5/7/8/9,0/45/180/270/315/360,3,2.3325175661839,1,0,
374,B4_K06_I01-02-06-07-08-09,Branch4,PowerREV,6,5,1/2/6/7/8/9,0/45/225/270/315/360,3,3.40425677542816,1,0,
375,B4_K06_I01-03-04-05-06-07,Branch4,PowerREV,6,6,1/3/4/5/6/7,0/90/135/180/225/270,3,1.64038820320221,1,0,
376,B4_K06_I01-03-04-05-06-08,Branch4,PowerREV,6,6,1/3/4/5/6/8,0/90/135/180/225/315,3,1.62089605899677,1,0,
377,B4_K06_I01-03-04-05-06-09,Branch4,PowerREV,6,5,1/3/4/5/6/9,0/90/135/180/225/360,3,1.84531825637808,1,0,
378,B4_K06_I01-03-04-05-07-08,Branch4,PowerREV,6,6,1/3/4/5/7/8,0/90/135/180/270/315,3,1.63299316185545,1,0,
379,B4_K06_I01-03-04-05-07-09,Branch4,PowerREV,6,5,1/3/4/5/7/9,0/90/135/180/270/360,3,1.659917819227,1,0,
380,B4_K06_I01-03-04-05-08-09,Branch4,PowerREV,6,5,1/3/4/5/8/9,0/90/135/180/315/360,3,2.25003971118362,1,0,
381,B4_K06_I01-03-04-06-07-08,Branch4,PowerREV,6,6,1/3/4/6/7/8,0/90/135/225/270/315,3,1.62089605899677,1,0,
382,B4_K06_I01-03-04-06-07-09,Branch4,PowerREV,6,5,1/3/4/6/7/9,0/90/135/225/270/360,3,1.4541447024803,1,0,
383,B4_K06_I01-03-04-06-08-09,Branch4,PowerREV,6,5,1/3/4/6/8/9,0/90/135/225/315/360,3,1.75792179601342,1,0,
384,B4_K06_I01-03-04-07-08-09,Branch4,PowerREV,6,5,1/3/4/7/8/9,0/90/135/270/315/360,3,2.17389700605903,1,0,
385,B4_K06_I01-03-05-06-07-08,Branch4,PowerREV,6,6,1/3/5/6/7/8,0/90/180/225/270/315,3,1.64038820320221,1,0,
386,B4_K06_I01-03-05-06-07-09,Branch4,PowerREV,6,5,1/3/5/6/7/9,0/90/180/225/270/360,3,1.659917819227,1,0,
387,B4_K06_I01-03-05-06-08-09,Branch4,PowerREV,6,5,1/3/5/6/8/9,0/90/180/225/315/360,3,1.74797652248497,1,0,
388,B4_K06_I01-03-05-07-08-09,Branch4,PowerREV,6,5,1/3/5/7/8/9,0/90/180/270/315/360,3,1.86338873475906,1,0,
389,B4_K06_I01-03-06-07-08-09,Branch4,PowerREV,6,5,1/3/6/7/8/9,0/90/225/270/315/360,3,2.12819430326551,1,0,
390,B4_K06_I01-04-05-06-07-08,Branch4,PowerREV,6,6,1/4/5/6/7/8,0/135/180/225/270/315,3,2.03964463712676,1,0,
391,B4_K06_I01-04-05-06-07-09,Branch4,PowerREV,6,5,1/4/5/6/7/9,0/135/180/225/270/360,3,1.84531825637808,1,0,
392,B4_K06_I01-04-05-06-08-09,Branch4,PowerREV,6,5,1/4/5/6/8/9,0/135/180/225/315/360,3,2.01978604082007,1,0,
393,B4_K06_I01-04-05-07-08-09,Branch4,PowerREV,6,5,1/4/5/7/8/9,0/135/180/270/315/360,3,1.96051469591397,1,0,
394,B4_K06_I01-04-06-07-08-09,Branch4,PowerREV,6,5,1/4/6/7/8/9,0/135/225/270/315/360,3,2.04932849753857,1,0,
395,B4_K06_I01-05-06-07-08-09,Branch4,PowerREV,6,5,1/5/6/7/8/9,0/180/225/270/315/360,3,2.95082909282659,1,0,
396,B4_K06_I02-03-04-05-06-07,Branch4,PowerREV,6,6,2/3/4/5/6/7,45/90/135/180/225/270,3,2.03964463712676,1,0,
397,B4_K06_I02-03-04-05-06-08,Branch4,PowerREV,6,6,2/3/4/5/6/8,45/90/135/180/225/315,3,1.64038820320221,1,0,
398,B4_K06_I02-03-04-05-06-09,Branch4,PowerREV,6,6,2/3/4/5/6/9,45/90/135/180/225/360,3,2.03964463712676,1,0,
399,B4_K06_I02-03-04-05-07-08,Branch4,PowerREV,6,6,2/3/4/5/7/8,45/90/135/180/270/315,3,1.62089605899677,1,0,
400,B4_K06_I02-03-04-05-07-09,Branch4,PowerREV,6,6,2/3/4/5/7/9,45/90/135/180/270/360,3,1.64038820320221,1,0,
401,B4_K06_I02-03-04-05-08-09,Branch4,PowerREV,6,6,2/3/4/5/8/9,45/90/135/180/315/360,3,2.03964463712676,1,0,
402,B4_K06_I02-03-04-06-07-08,Branch4,PowerREV,6,6,2/3/4/6/7/8,45/90/135/225/270/315,3,1.63299316185545,1,0,
403,B4_K06_I02-03-04-06-07-09,Branch4,PowerREV,6,6,2/3/4/6/7/9,45/90/135/225/270/360,3,1.62089605899677,1,0,
404,B4_K06_I02-03-04-06-08-09,Branch4,PowerREV,6,6,2/3/4/6/8/9,45/90/135/225/315/360,3,1.64038820320221,1,0,
405,B4_K06_I02-03-04-07-08-09,Branch4,PowerREV,6,6,2/3/4/7/8/9,45/90/135/270/315/360,3,2.03964463712676,1,0,
406,B4_K06_I02-03-05-06-07-08,Branch4,PowerREV,6,6,2/3/5/6/7/8,45/90/180/225/270/315,3,1.62089605899677,1,0,
407,B4_K06_I02-03-05-06-07-09,Branch4,PowerREV,6,6,2/3/5/6/7/9,45/90/180/225/270/360,3,1.63299316185545,1,0,
408,B4_K06_I02-03-05-06-08-09,Branch4,PowerREV,6,6,2/3/5/6/8/9,45/90/180/225/315/360,3,1.62089605899677,1,0,
409,B4_K06_I02-03-05-07-08-09,Branch4,PowerREV,6,6,2/3/5/7/8/9,45/90/180/270/315/360,3,1.64038820320221,1,0,
410,B4_K06_I02-03-06-07-08-09,Branch4,PowerREV,6,6,2/3/6/7/8/9,45/90/225/270/315/360,3,2.03964463712676,1,0,
411,B4_K06_I02-04-05-06-07-08,Branch4,PowerREV,6,6,2/4/5/6/7/8,45/135/180/225/270/315,3,1.64038820320221,1,0,
412,B4_K06_I02-04-05-06-07-09,Branch4,PowerREV,6,6,2/4/5/6/7/9,45/135/180/225/270/360,3,1.62089605899677,1,0,
413,B4_K06_I02-04-05-06-08-09,Branch4,PowerREV,6,6,2/4/5/6/8/9,45/135/180/225/315/360,3,1.63299316185545,1,0,
414,B4_K06_I02-04-05-07-08-09,Branch4,PowerREV,6,6,2/4/5/7/8/9,45/135/180/270/315/360,3,1.62089605899677,1,0,
