PipelineIndex,MethodIndex,MethodId,Branch,Estimator,StateCount,UniquePhaseCount,ObservationIndices,PhaseSetDeg,ResponseRecoverable,StationCount,Stations,LocalizationValid,FailureReason,EstimatedX_M,EstimatedY_M,EstimatedZ_M,ErrorM,RmsRayDistanceM,GeometryConditionNumber,MinimumForwardRangeM,AllRaysForward
12,2,B2_ONOFF,Branch2,OnOff,NaN,NaN,,,1,2,L1-L2,1,,0.406072452276102,1.32632872057066,1.4533515000317,1.81041633359036,0.0260460184974746,27.5408335955531,1.71861219403402,1
13,2,B2_ONOFF,Branch2,OnOff,NaN,NaN,,,1,2,L1-L3,1,,-0.0658299697396517,1.85192106043762,1.56978632077702,1.24179031083006,0.270644317884973,15.1893768050169,1.83715763637126,1
14,2,B2_ONOFF,Branch2,OnOff,NaN,NaN,,,1,2,L1-L4,1,,-0.264588820762201,2.29364307611478,1.51117597859801,0.839235662248621,0.265273140627883,4.7576979796036,2.47309705630994,1
15,2,B2_ONOFF,Branch2,OnOff,NaN,NaN,,,1,2,L2-L3,1,,-0.132194528462393,1.67998800467477,1.61428799402732,1.42079941085828,0.192056728659206,5.70418578878025,1.67591217252923,1
16,2,B2_ONOFF,Branch2,OnOff,NaN,NaN,,,1,2,L2-L4,1,,-0.445749409778471,1.93032515186513,1.57427056640716,1.24461014247391,0.183989792072313,2.65478175673319,2.07117725334893,1
17,2,B2_ONOFF,Branch2,OnOff,NaN,NaN,,,1,2,L3-L4,1,,-0.246605354454953,2.4853727473534,1.81775186137093,0.726191821004287,0.0412046886417387,18.6742673068188,2.50050287059433,1
18,2,B2_ONOFF,Branch2,OnOff,NaN,NaN,,,1,3,L1-L2-L3,1,,-0.0100605787916415,1.67601568407305,1.51621561143307,1.4141130814002,0.235685261484052,8.48805979515202,1.65343993527802,1
19,2,B2_ONOFF,Branch2,OnOff,NaN,NaN,,,1,3,L1-L2-L4,1,,-0.298905457023468,1.91607850317735,1.44233303067842,1.21274961648787,0.275371883512682,5.78564632505275,2.10646972990504,1
20,2,B2_ONOFF,Branch2,OnOff,NaN,NaN,,,1,3,L1-L3-L4,1,,-0.259886535024813,2.33469170872687,1.75561275854559,0.838671275461626,0.300511163838182,11.185775388468,2.34798558482791,1
21,2,B2_ONOFF,Branch2,OnOff,NaN,NaN,,,1,3,L2-L3-L4,1,,-0.339182402184454,1.98953072459843,1.71576883200878,1.17159443363346,0.228303338421999,5.38535164760451,2.01030198851653,1
22,2,B2_ONOFF,Branch2,OnOff,NaN,NaN,,,1,4,L1-L2-L3-L4,1,,-0.267344145971766,1.94091573377631,1.58563747619169,1.18287840482304,0.277040708570446,4.15859560336586,1.94624193560041,1
