MethodIndex,MethodId,Branch,LocationIndex,Location,Reference,MedianCoherence,MedianPhaseRmseDeg,MedianComplexNmseDb,MedianMagnitudeNrmse,MedianMagnitudeCorrelation,ComparedFrequencyCount,ValidFraction
1,B1_DFT8,Branch1,1,Location1,Branch1,1,7.39260986749434e-16,-Inf,0,1,21,1
1,B1_DFT8,Branch1,1,Location1,Branch2,0.864261876835163,32.4389521144188,-5.96791241468312,0.34253803468072,0.504513158212252,21,1
1,B1_DFT8,Branch1,1,Location1,Branch3,0.97926935490384,11.3231098906406,-13.868822828045,0.149847940805325,0.890847017113518,21,1
1,B1_DFT8,Branch1,1,Location1,Branch4Canonical,0.945970630876969,13.7467548806412,-9.78233822004919,0.249911245264167,0.787429652156497,21,1
1,B1_DFT8,Branch1,2,Location2,Branch1,1,7.40387641499835e-16,-Inf,0,1,21,1
1,B1_DFT8,Branch1,2,Location2,Branch2,0.488989074907337,71.2535853249241,-1.18678303588277,0.644467483631868,0.221996090465263,21,1
1,B1_DFT8,Branch1,2,Location2,Branch3,0.858059153565463,34.9963624488638,-5.78833073106149,0.356873479407356,0.656062200343248,21,1
1,B1_DFT8,Branch1,2,Location2,Branch4Canonical,0.872665438569753,35.2001469938513,-6.22593507835729,0.330608992422667,0.686378807019285,21,1
1,B1_DFT8,Branch1,3,Location3,Branch1,1,6.39938754322109e-16,-Inf,0,1,21,1
1,B1_DFT8,Branch1,3,Location3,Branch2,0.915846616840405,22.8069151997156,-7.92567683290557,0.279498798700994,0.61762399332731,21,1
1,B1_DFT8,Branch1,3,Location3,Branch3,0.982885601269661,8.60815727768463,-14.693406949073,0.128967821086376,0.887325745542287,21,1
1,B1_DFT8,Branch1,3,Location3,Branch4Canonical,0.992762402654797,6.66913968525926,-18.4095006119913,0.0838119878810101,0.959217202911972,21,1
1,B1_DFT8,Branch1,4,Location4,Branch1,1,7.28917423056069e-16,-Inf,0,1,21,1
1,B1_DFT8,Branch1,4,Location4,Branch2,0.791500693861334,51.1751356911291,-4.27678405261525,0.411820041585328,0.465085515873776,21,1
1,B1_DFT8,Branch1,4,Location4,Branch3,0.967788780858914,16.2437818108434,-11.980143573881,0.172445404612505,0.853390794649319,21,1
1,B1_DFT8,Branch1,4,Location4,Branch4Canonical,0.968717672263084,14.1768539322349,-12.1051749852529,0.187464292576332,0.866334803527382,21,1
