MethodIndex,MethodId,Branch,LocationIndex,Location,Reference,MedianCoherence,MedianPhaseRmseDeg,MedianComplexNmseDb,MedianMagnitudeNrmse,MedianMagnitudeCorrelation,ComparedFrequencyCount,ValidFraction
2,B2_ONOFF,Branch2,1,Location1,Branch1,0.864261876835163,32.4389521144188,-5.96791241468312,0.34253803468072,0.504513158212252,21,1
2,B2_ONOFF,Branch2,1,Location1,Branch2,1,5.83298172844537e-16,-Inf,0,1,21,1
2,B2_ONOFF,Branch2,1,Location1,Branch3,0.881599787221258,29.7807129541232,-6.52120261851164,0.334868675310333,0.508119953405112,21,1
2,B2_ONOFF,Branch2,1,Location1,Branch4Canonical,0.786492533333375,39.8272612062144,-4.1858572706039,0.465088358874424,0.315580860350102,21,1
2,B2_ONOFF,Branch2,2,Location2,Branch1,0.488989074907337,71.253585324924,-1.18678303588277,0.644467483631868,0.221996090465263,21,1
2,B2_ONOFF,Branch2,2,Location2,Branch2,1,6.31035832401646e-16,-Inf,0,1,21,1
2,B2_ONOFF,Branch2,2,Location2,Branch3,0.549436340553938,71.0142347567003,-1.56070101837039,0.609804316992131,0.181658012537241,21,1
2,B2_ONOFF,Branch2,2,Location2,Branch4Canonical,0.484650621086882,74.0352970135393,-1.1627397871682,0.681412882699053,0.147047595278446,21,1
2,B2_ONOFF,Branch2,3,Location3,Branch1,0.915846616840405,22.8069151997156,-7.92567683290557,0.279498798700995,0.61762399332731,21,1
2,B2_ONOFF,Branch2,3,Location3,Branch2,1,7.14363656115209e-16,-Inf,0,1,21,1
2,B2_ONOFF,Branch2,3,Location3,Branch3,0.921256627614605,21.3765729946727,-8.2020061071721,0.273288485786262,0.640285580992376,21,1
2,B2_ONOFF,Branch2,3,Location3,Branch4Canonical,0.902702944471285,24.9154824252734,-7.3252931219586,0.30284636616015,0.617511276801404,21,1
2,B2_ONOFF,Branch2,4,Location4,Branch1,0.791500693861334,51.1751356911291,-4.27678405261525,0.411820041585328,0.465085515873776,21,1
2,B2_ONOFF,Branch2,4,Location4,Branch2,1,7.75444256804316e-16,-Inf,0,1,21,1
2,B2_ONOFF,Branch2,4,Location4,Branch3,0.812617452200761,46.841610681793,-4.68964703198597,0.392904342438917,0.46600391956895,21,1
2,B2_ONOFF,Branch2,4,Location4,Branch4Canonical,0.755640793055506,51.2882586512923,-3.67535629712692,0.44316714691245,0.360618594182969,21,1
