PipelineIndex,MethodIndex,MethodId,Branch,Estimator,StateCount,UniquePhaseCount,ObservationIndices,PhaseSetDeg,ResponseRecoverable,StationCount,Stations,LocalizationValid,FailureReason,EstimatedX_M,EstimatedY_M,EstimatedZ_M,ErrorM,RmsRayDistanceM,GeometryConditionNumber,MinimumForwardRangeM,AllRaysForward
23,3,B3_HADAMARD,Branch3,Hadamard,NaN,NaN,,,1,2,L1-L2,1,,0.364703038744448,1.37889001665656,1.42670101780949,1.75107921647114,0.0280435758329183,29.2233141919165,1.78827449731878,1
24,3,B3_HADAMARD,Branch3,Hadamard,NaN,NaN,,,1,2,L1-L3,1,,-0.0661739541225382,1.84012442892495,1.54673401500581,1.25249830480243,0.269359956350757,15.0478881502972,1.82713088269605,1
25,3,B3_HADAMARD,Branch3,Hadamard,NaN,NaN,,,1,2,L1-L4,1,,-0.271780316985845,2.27594801354968,1.49740887301191,0.858226014103336,0.279450390747981,4.73118824808886,2.4534046456468,1
26,3,B3_HADAMARD,Branch3,Hadamard,NaN,NaN,,,1,2,L2-L3,1,,-0.134599287233027,1.7125583946245,1.59208479804583,1.38706234696722,0.195088548061533,5.80949600791548,1.70953241218511,1
27,3,B3_HADAMARD,Branch3,Hadamard,NaN,NaN,,,1,2,L2-L4,1,,-0.438428314323309,1.95654481367133,1.5611043115864,1.21682939770133,0.198260430714365,2.68877190169672,2.0977839197941,1
28,3,B3_HADAMARD,Branch3,Hadamard,NaN,NaN,,,1,2,L3-L4,1,,-0.247190224832164,2.50949045366462,1.80312535729583,0.699985230469051,0.0257538128381443,18.941596346048,2.52404029917789,1
29,3,B3_HADAMARD,Branch3,Hadamard,NaN,NaN,,,1,3,L1-L2-L3,1,,-0.0183826760287463,1.70180022397317,1.48989326222761,1.38835827043574,0.233601695038109,8.70878150734935,1.68189020664037,1
30,3,B3_HADAMARD,Branch3,Hadamard,NaN,NaN,,,1,3,L1-L2-L4,1,,-0.280444257058852,2.00106506629061,1.43043382087742,1.12661782537277,0.270776559151795,4.59941672809819,2.19156929446991,1
31,3,B3_HADAMARD,Branch3,Hadamard,NaN,NaN,,,1,3,L1-L3-L4,1,,-0.261052703417294,2.38775755881839,1.76518752124261,0.794743594866285,0.323129963168,13.4498663960031,2.4023375522685,1
32,3,B3_HADAMARD,Branch3,Hadamard,NaN,NaN,,,1,3,L2-L3-L4,1,,-0.326758743861299,2.0295577292745,1.71292460938501,1.12988759419379,0.236665323559698,5.93226396804513,2.04992102283973,1
33,3,B3_HADAMARD,Branch3,Hadamard,NaN,NaN,,,1,4,L1-L2-L3-L4,1,,-0.259067067562056,1.94926013714522,1.5565126341429,1.17115193635109,0.277565262432014,4.29458928323665,1.95492553435104,1
