Branch,Method,Estimator,StateRole,StateCount,UniquePhaseCount,Location,AzimuthDeg,ElevationDeg,Ux,Uy,Uz,AngularErrorDeg,PeakScore
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,3,3,Location1,122.833986348658,-9.35203505756315,-0.535,0.82907704708308,-0.1625,12.0707025089191,0.705703168812824
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,3,3,Location2,143.650337278282,-4.87602486961296,-0.8025,0.590566465353393,-0.085,16.6556883643547,0.397095811314602
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,3,3,Location3,95.8878786990507,2.29244277595588,-0.1025,0.993928443098395,0.0399999999999999,8.27053568153326,0.76971002806547
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,3,3,Location4,69.0433816711824,1.71913132087781,0.3575,0.933431170467325,0.0299999999999999,5.01433039477221,0.685432792564707
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,4,4,Location1,122.833986348658,-9.35203505756315,-0.535,0.82907704708308,-0.1625,12.0707025089191,0.731605503731784
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,4,4,Location2,143.702623124417,-5.3074466746303,-0.8025,0.589438291935636,-0.0925,16.7641002986764,0.438181181674587
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,4,4,Location3,95.8878786990507,2.29244277595588,-0.1025,0.993928443098395,0.0399999999999999,8.27053568153326,0.787665934871121
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,4,4,Location4,69.0433816711824,1.71913132087781,0.3575,0.933431170467325,0.0299999999999999,5.01433039477221,0.72534730496099
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,5,5,Location1,122.833986348658,-9.35203505756315,-0.535,0.82907704708308,-0.1625,12.0707025089191,0.738401062746926
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,5,5,Location2,143.667256322953,-5.01980013167812,-0.8025,0.590201236867562,-0.0875,16.6901805169901,0.461452274503152
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,5,5,Location3,95.8878786990507,2.29244277595588,-0.1025,0.993928443098395,0.0399999999999999,8.27053568153326,0.790326312531182
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,5,5,Location4,69.0433816711824,1.71913132087781,0.3575,0.933431170467325,0.0299999999999999,5.01433039477221,0.730385200759135
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,6,6,Location1,122.849543753022,-9.49723446851704,-0.535,0.82858312799622,-0.165,12.1577667257075,0.747158188046384
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,6,6,Location2,143.667256322953,-5.01980013167812,-0.8025,0.590201236867562,-0.0875,16.6901805169901,0.483261664531465
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,6,6,Location3,95.8884891043574,2.43580428350657,-0.1025,0.993824682728297,0.0424999999999999,8.37227853953572,0.794543539599412
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,6,6,Location4,69.0416655384098,1.86244079953198,0.3575,0.933347470131033,0.0324999999999999,5.15698973655785,0.738897820827697
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,7,7,Location1,122.833986348658,-9.35203505756315,-0.535,0.82907704708308,-0.1625,12.0707025089191,0.75057457293349
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,7,7,Location2,143.650337278282,-4.87602486961296,-0.8025,0.590566465353393,-0.085,16.6556883643547,0.5064137294626
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,7,7,Location3,95.8884891043574,2.43580428350657,-0.1025,0.993824682728297,0.0424999999999999,8.37227853953572,0.795362338871345
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,7,7,Location4,69.0416655384098,1.86244079953198,0.3575,0.933347470131033,0.0324999999999999,5.15698973655785,0.742395232572076
Branch1,ComplexDFT,ComplexDFT,CanonicalEightUniquePhases,8,8,Location1,122.833986348658,-9.35203505756315,-0.535,0.82907704708308,-0.1625,12.0707025089191,0.7557380104289
Branch1,ComplexDFT,ComplexDFT,CanonicalEightUniquePhases,8,8,Location2,143.91065596465,-5.01980013167812,-0.805,0.58678680114672,-0.0875,16.9306973648369,0.517870890787534
Branch1,ComplexDFT,ComplexDFT,CanonicalEightUniquePhases,8,8,Location3,95.8884891043574,2.43580428350657,-0.1025,0.993824682728297,0.0424999999999999,8.37227853953572,0.796581439333829
Branch1,ComplexDFT,ComplexDFT,CanonicalEightUniquePhases,8,8,Location4,69.0416655384098,1.86244079953198,0.3575,0.933347470131033,0.0324999999999999,5.15698973655785,0.746965106658068
Branch1,ComplexDFT,ComplexHarmonicLS,EightUniquePhasesPlusClosureRepeat,9,8,Location1,122.833986348658,-9.35203505756315,-0.535,0.82907704708308,-0.1625,12.0707025089191,0.757504873667313
Branch1,ComplexDFT,ComplexHarmonicLS,EightUniquePhasesPlusClosureRepeat,9,8,Location2,143.893585517872,-4.87602486961296,-0.805,0.587154153523587,-0.085,16.8963485690724,0.529135400456113
Branch1,ComplexDFT,ComplexHarmonicLS,EightUniquePhasesPlusClosureRepeat,9,8,Location3,95.8884891043574,2.43580428350657,-0.1025,0.993824682728297,0.0424999999999999,8.37227853953572,0.798928804296134
Branch1,ComplexDFT,ComplexHarmonicLS,EightUniquePhasesPlusClosureRepeat,9,8,Location4,69.0416655384098,1.86244079953198,0.3575,0.933347470131033,0.0324999999999999,5.15698973655785,0.754928737295409
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,3,3,Location1,122.631246389304,-9.06181695393534,-0.5325,0.831647461368097,-0.1575,11.7523866633935,0.487002036085346
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,3,3,Location2,144.121550261089,-4.73228037895821,-0.8075,0.584069773229192,-0.0825,17.1058918822708,0.201345636522704
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,3,3,Location3,95.8878786990507,2.29244277595588,-0.1025,0.993928443098395,0.0399999999999999,8.27053568153326,0.712590064286969
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,3,3,Location4,69.1997531762053,1.4325437375665,0.355,0.934531968420557,0.0249999999999999,4.74554550752062,0.547295147329714
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,4,4,Location1,122.833986348658,-9.35203505756315,-0.535,0.82907704708308,-0.1625,12.0707025089191,0.564026500372909
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,4,4,Location2,143.633925674789,-4.73228037895821,-0.8025,0.590920891490561,-0.0825,16.6228504728193,0.283095386619442
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,4,4,Location3,95.8884891043574,2.43580428350657,-0.1025,0.993824682728297,0.0424999999999999,8.37227853953572,0.76471830763091
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,4,4,Location4,68.8914390956087,1.57583259975216,0.36,0.932546915709875,0.0274999999999999,4.86058692263444,0.639657715032081
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,5,5,Location1,122.849543753022,-9.49723446851704,-0.535,0.82858312799622,-0.165,12.1577667257075,0.586503200446381
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,5,5,Location2,143.618019979014,-4.58856573578583,-0.8025,0.591264534705067,-0.08,16.5916732698491,0.30571917386715
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,5,5,Location3,95.8884891043574,2.43580428350657,-0.1025,0.993824682728297,0.0424999999999999,8.37227853953572,0.76923505694583
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,5,5,Location4,68.8928915664191,1.4325437375665,0.36,0.932617284849471,0.0249999999999999,4.71762125934191,0.643835354328651
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,6,6,Location1,122.849543753022,-9.49723446851704,-0.535,0.82858312799622,-0.165,12.1577667257075,0.606255767072265
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,6,6,Location2,143.650337278282,-4.87602486961296,-0.8025,0.590566465353393,-0.085,16.6556883643547,0.330172922648212
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,6,6,Location3,95.8884891043574,2.43580428350657,-0.1025,0.993824682728297,0.0424999999999999,8.37227853953572,0.776738099493688
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,6,6,Location4,68.8898479495434,1.71913132087781,0.36,0.932469838654313,0.0299999999999999,5.00357370735474,0.653093161594294
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,7,7,Location1,122.833986348658,-9.35203505756315,-0.535,0.82907704708308,-0.1625,12.0707025089191,0.62240566369707
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,7,7,Location2,143.860979365318,-4.58856573578583,-0.805,0.587856274951625,-0.08,16.8325838898585,0.351539726760173
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,7,7,Location3,95.8884891043574,2.43580428350657,-0.1025,0.993824682728297,0.0424999999999999,8.37227853953572,0.780609507662175
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,7,7,Location4,68.8898479495434,1.71913132087781,0.36,0.932469838654313,0.0299999999999999,5.00357370735474,0.655350110291027
Branch4,PowerREV,PowerREV,CanonicalEightUniquePhases,8,8,Location1,122.833986348658,-9.35203505756315,-0.535,0.82907704708308,-0.1625,12.0707025089191,0.639037018038636
Branch4,PowerREV,PowerREV,CanonicalEightUniquePhases,8,8,Location2,143.893585517872,-4.87602486961296,-0.805,0.587154153523587,-0.085,16.8963485690724,0.373162162246952
Branch4,PowerREV,PowerREV,CanonicalEightUniquePhases,8,8,Location3,95.8884891043574,2.43580428350657,-0.1025,0.993824682728297,0.0424999999999999,8.37227853953572,0.782010583006641
Branch4,PowerREV,PowerREV,CanonicalEightUniquePhases,8,8,Location4,68.8914390956087,1.57583259975216,0.36,0.932546915709875,0.0274999999999999,4.86058692263444,0.676978395520976
Branch4,PowerREV,PowerREV,EightUniquePhasesPlusClosureRepeat,9,8,Location1,123.006924797102,-9.35203505756315,-0.5375,0.827458458171768,-0.1625,12.2183531178971,0.650563738266328
Branch4,PowerREV,PowerREV,EightUniquePhasesPlusClosureRepeat,9,8,Location2,143.91065596465,-5.01980013167812,-0.805,0.58678680114672,-0.0875,16.9306973648369,0.384978469062686
Branch4,PowerREV,PowerREV,EightUniquePhasesPlusClosureRepeat,9,8,Location3,95.8884891043574,2.43580428350657,-0.1025,0.993824682728297,0.0424999999999999,8.37227853953572,0.78557481392456
Branch4,PowerREV,PowerREV,EightUniquePhasesPlusClosureRepeat,9,8,Location4,68.8914390956087,1.57583259975216,0.36,0.932546915709875,0.0274999999999999,4.86058692263444,0.688154563783134
