MethodIndex,MethodId,Branch,StateCount,UniquePhaseCount,PowerDesignRank,PowerDesignCondition,Recoverable,Canonical,MedianValidFraction,MedianTrainingFitNmseDb,MedianHeldOutFitNmseDb,Branch1Coherence,Branch1PhaseRmseDeg,Branch1ComplexNmseDb,Branch1MagnitudeNrmse,Branch2Coherence,Branch2PhaseRmseDeg,Branch2ComplexNmseDb,Branch2MagnitudeNrmse,Branch3Coherence,Branch3PhaseRmseDeg,Branch3ComplexNmseDb,Branch3MagnitudeNrmse,Branch4CanonicalCoherence,Branch4CanonicalPhaseRmseDeg,Branch4CanonicalComplexNmseDb,Branch4CanonicalMagnitudeNrmse,ValidDoaCount,MedianDoaAngularErrorDeg,ValidLocalizationCount,TwoStationValidCount,TwoStationMedianErrorM,TwoStationMinErrorM,TwoStationMaxErrorM,TwoStationMedianRayRmsM,ThreeStationValidCount,ThreeStationMedianErrorM,ThreeStationMinErrorM,ThreeStationMaxErrorM,ThreeStationMedianRayRmsM,FourStationValidCount,FourStationErrorM,FourStationRayRmsM,FourStationEstimatedY_M,ForwardLocalizationCount
15,B4_K03_I01-03-08,Branch4,3,3,3,5.35734750587404,1,0,0.835565476190476,-321.960071431058,-16.8197266532473,0.694658309493827,52.9282366765715,-2.86273513702635,0.490476883944794,0.561511373414167,62.559392797389,-1.66811531128034,0.590018940803048,0.667778603017558,56.8692613277186,-2.57846089641817,0.511248020806482,0.726867025695441,48.3618451902157,-3.28273826615482,0.485160985994243,4,10.1996188066191,11,6,1.14613697252324,0.728655974721678,1.55184632914921,0.181488760706181,4,1.00371642247643,0.777084099741681,1.24455588756296,0.23627717709896,1,1.07630627264094,0.255947912169343,2.04604933491927,11
16,B4_K03_I01-03-09,Branch4,3,2,2,Inf,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0
17,B4_K03_I01-04-05,Branch4,3,3,3,3.45343908280327,1,0,0.828869047619048,-322.033315667406,-19.0373863556099,0.682396144513189,55.5654960403318,-2.72701163703534,0.463160865161462,0.561296694076416,64.1440499498085,-1.65477756949387,0.621023635205994,0.653752222048831,55.5652091080708,-2.42629728850547,0.510112073568943,0.72807631865138,54.1970345179098,-3.29316467060316,0.435543938345224,4,10.0204945012197,11,6,1.19513237883874,0.707546022033417,1.73410081320207,0.240987536748183,4,1.1184633792734,0.72436134768174,1.5159494262371,0.305613854211982,1,1.13526187591447,0.292165995649142,1.98471244372547,11
18,B4_K03_I01-04-06,Branch4,3,3,3,1.68454111593416,1,0,0.905505952380952,-321.753231762724,-22.0939924348374,0.843285136290668,33.5467150683999,-5.47575941090448,0.363834561471933,0.66242146012118,53.5184728825731,-2.516731326409,0.524063719234065,0.806888722869979,38.1082301434097,-4.60608551872591,0.415876357934624,0.881110638815557,28.3322849314252,-6.51003297355494,0.308498187963365,4,10.346803246748,11,6,1.21570024797022,0.729628963041485,1.7643953363274,0.156767949198115,4,1.17627490311133,0.770474170360494,1.37216724102516,0.248780109124876,1,1.18445408802228,0.261711574557019,1.93881852873996,11
19,B4_K03_I01-04-07,Branch4,3,3,3,1.68454111593416,1,0,0.90625,-322.318494996201,-22.0203506105596,0.864808448366539,34.0781941775396,-6.01439162493905,0.362355695350062,0.719403430928177,49.3595172112962,-3.16575570073732,0.509027398262063,0.821430857956136,37.2418288811191,-4.89015641098189,0.396942788719368,0.889991592148927,30.4990131416322,-6.8211562762168,0.32498820548193,4,10.4267343151013,11,6,1.22905668298772,0.704480595945518,1.75443999611976,0.182101505636289,4,1.13048458463238,0.723553908142965,1.3760354439609,0.252153626242582,1,1.18530381900286,0.275123137873498,1.93529278186312,11
20,B4_K03_I01-04-08,Branch4,3,3,3,3.45343908280328,1,0,0.852678571428571,-322.177827596419,-19.592197178016,0.743194976835232,49.7123852155035,-3.56301076115747,0.463108257490598,0.588708113251236,61.1970381373466,-1.89901991594456,0.593835306016668,0.710209842298231,53.3898761476618,-3.11043878078245,0.479398823341921,0.775549417406596,47.4849056971903,-4.06101997727206,0.45771283752058,4,10.2102856488668,11,6,1.17801795645958,0.688637691479666,1.68700229956592,0.17256225894509,4,1.0850784864893,0.742285881367768,1.32079510911523,0.249213047672412,1,1.12547578524972,0.268092643732076,1.99789553861467,11
21,B4_K03_I01-04-09,Branch4,3,2,2,Inf,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0
22,B4_K03_I01-05-06,Branch4,3,3,3,3.45343908280327,1,0,0.835565476190476,-322.117513432138,-19.4827871763867,0.702984777843959,54.1476527483025,-2.97548400452121,0.497986772165589,0.569928655789165,64.3054428349787,-1.70947965097198,0.604892039393837,0.68104497486251,56.7492532176437,-2.7242596551056,0.511070348983622,0.74203347659605,52.3946229657487,-3.48694127718209,0.445969035958523,4,10.3819994674456,11,6,1.20413199430885,0.692499504668798,1.70687005806473,0.148174710736491,4,1.13303375699847,0.776129814755001,1.34265806144117,0.236255731787015,1,1.14982436533493,0.254191287945942,1.9770241638961,11
23,B4_K03_I01-05-07,Branch4,3,3,3,2.35829447118226,1,0,0.891369047619048,-322.63454278982,-21.0338219342037,0.793051367038078,39.9649365498469,-4.33255840379759,0.418654763049143,0.692150151018551,52.8023393054594,-2.83250989012875,0.547023228511867,0.785210050760978,40.2265795207075,-4.18305221319661,0.428577289090418,0.841982129743731,38.3704257847072,-5.36008873511484,0.352555748347567,4,10.5176100159922,11,6,1.21514364292566,0.699569779439894,1.76025678120105,0.130811396899168,4,1.10213202902629,0.77966358852063,1.35635614272666,0.241749802573613,1,1.14922509110873,0.262318681291022,1.98079434259587,11
24,B4_K03_I01-05-08,Branch4,3,3,3,3.45343908280328,1,0,0.854166666666667,-322.428809337234,-19.5196814764952,0.72549879891541,50.205531060679,-3.30217694031954,0.479097603681815,0.57915004072993,62.5570715805227,-1.84712111189314,0.587311378241059,0.698472033344181,51.6601757745613,-2.96022444503948,0.485082602293147,0.754266784992586,47.9296842827048,-3.73984796743493,0.430698926810734,4,10.1786437973772,11,6,1.19784192449318,0.687787120779769,1.72001354948426,0.198340170263138,4,1.09449541786224,0.756218557646829,1.36116690554025,0.255342233840832,1,1.14122150385057,0.271000029080465,1.9819430476771,11
25,B4_K03_I01-05-09,Branch4,3,2,2,Inf,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0
26,B4_K03_I01-06-07,Branch4,3,3,3,5.35734750587403,1,0,0.811011904761905,-322.495916273399,-16.668050902192,0.671064693638665,55.562441960362,-2.60538143866516,0.517609048244934,0.56266252180806,62.7895221849689,-1.69705065643104,0.589573818371506,0.653158775497179,59.1613139252934,-2.41646570171921,0.531571715105259,0.696346037150207,55.467363987108,-2.90966667457376,0.470593491034179,4,10.4457564516625,11,6,3.3027428336787,0.689649273509125,23.1368263508021,0.240911647658678,4,1.07259395809306,0.737874915048108,3.95664142473598,1.08484619797907,1,0.879471010581251,1.29268849382409,2.23259334123665,8
27,B4_K03_I01-06-08,Branch4,3,3,3,5.35734750587403,1,0,0.819940476190476,-322.105017880785,-16.997220552195,0.693142144127082,53.3019392827755,-2.87746105721284,0.504353885829859,0.559267756298609,65.8003318951413,-1.68295551759466,0.611345471806189,0.69177600146141,53.5601289596546,-2.87872605384061,0.524206383707466,0.722855332108077,50.5475181091387,-3.22247780646076,0.478475204218266,4,9.76228102987126,11,6,3.24130699744779,0.675116059052675,20.5268893451435,0.241044703680607,4,1.04895141665489,0.706889378398064,4.00889169864063,1.10464746465652,1,0.841055529060051,1.32374954251225,2.27620022548596,8
28,B4_K03_I01-06-09,Branch4,3,2,2,Inf,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0
29,B4_K03_I01-07-08,Branch4,3,3,3,13.2024309665537,1,0,0.754464285714286,-322.847667098498,-11.2646119944422,0.515160433850492,69.2015274974464,-1.36919134902046,0.61771048449755,0.394946226716558,77.987637260434,-0.744336690374569,0.706135068624963,0.509847082066256,71.2245145307003,-1.32402019265944,0.628576863346698,0.515977667150875,68.0174869987603,-1.36485078824374,0.60340879142364,4,9.19248653391669,11,6,3.2231486870201,0.646709864837432,25.2860848910034,0.217192305473263,4,1.10473627786097,0.718579228943448,4.19204986085324,1.09444013880244,1,0.796493377981464,1.30715411071915,2.32126635939235,8
30,B4_K03_I01-07-09,Branch4,3,2,2,Inf,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0
31,B4_K03_I01-08-09,Branch4,3,2,2,Inf,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0
32,B4_K03_I02-03-04,Branch4,3,3,3,13.2024309665538,1,0,0.75297619047619,-321.262783045032,-10.7064901218176,0.529640794637426,69.2841865919643,-1.43609591582996,0.580180973851102,0.41251711008226,77.3404589923537,-0.82821677866644,0.675256063076834,0.532042853009629,72.0642656972374,-1.44972758640944,0.605175914473605,0.543958278792467,70.8750177692765,-1.52608523204896,0.595466808217087,4,9.36538934698872,11,6,3.25859962110699,0.652152469030922,21.7020370479201,0.212537357263274,4,1.09425211778446,0.738998154756343,4.00023501043345,1.09250072131793,1,0.809445001081406,1.30773255620005,2.30132644297075,8
