Branch,Method,Location,AzimuthDeg,ElevationDeg,Ux,Uy,Uz,AngularErrorDeg,PeakScore,PeakToSecondRatio,FrequencyCount,MeanValidElementFraction
Branch1,ComplexDFT,Location1,122.849543753022,-9.49723446851704,-0.535,0.82858312799622,-0.165,12.1577667257075,0.749920300069013,1.00475050134584,51,1
Branch1,ComplexDFT,Location2,143.667256322953,-5.01980013167812,-0.8025,0.590201236867562,-0.0875,16.6901805169901,0.539210577955826,1.00458052095731,51,1
Branch1,ComplexDFT,Location3,95.8884891043574,2.43580428350657,-0.1025,0.993824682728297,0.0424999999999999,8.37227853953572,0.812558192621538,1.0042350521333,51,1
Branch1,ComplexDFT,Location4,69.0416655384098,1.86244079953198,0.3575,0.933347470131033,0.0324999999999999,5.15698973655785,0.75571574425977,1.00455428986049,51,1
Branch2,OnOff,Location1,122.631246389304,-9.06181695393534,-0.5325,0.831647461368097,-0.1575,11.7523866633935,0.606458716458771,1.00477602754205,51,1
Branch2,OnOff,Location2,143.91065596465,-5.01980013167812,-0.805,0.58678680114672,-0.0875,16.9306973648369,0.252514304839845,1.00394489844487,51,1
Branch2,OnOff,Location3,95.4657470218855,4.15759167720182,-0.095,0.992833697051022,0.0725,9.42087295766289,0.740307820806159,1.00447793458346,51,1
Branch2,OnOff,Location4,69.0378198679816,2.14909562686402,0.3575,0.933159954134338,0.0374999999999999,5.44241601050701,0.548513975265525,1.00424026324755,51,1
Branch3,Hadamard,Location1,122.833986348658,-9.35203505756315,-0.535,0.82907704708308,-0.1625,12.0707025089191,0.768908346750471,1.00425932173656,51,1
Branch3,Hadamard,Location2,143.684684393117,-5.16360709084638,-0.8025,0.589825185966147,-0.09,16.7263201816587,0.608688949554264,1.00467656994783,51,1
Branch3,Hadamard,Location3,95.6037365937072,3.15285880404642,-0.0975,0.993714622011773,0.0549999999999999,8.71060076878389,0.823957020070297,1.00425419146138,51,1
Branch3,Hadamard,Location4,69.1932165354548,2.00576193490982,0.355,0.934210896960638,0.0349999999999999,5.3141587849017,0.785837830695003,1.00460954274063,51,1
Branch4,PowerREV,Location1,122.631246389304,-9.06181695393534,-0.5325,0.831647461368097,-0.1575,11.7523866633935,0.581765895399315,1.00448156413982,51,0.924019607843137
Branch4,PowerREV,Location2,143.201746477251,-5.16360709084638,-0.7975,0.596568311260328,-0.09,16.2499420461766,0.376298920755254,1.00430348411339,51,0.965073529411765
Branch4,PowerREV,Location3,95.8884891043574,2.43580428350657,-0.1025,0.993824682728297,0.0424999999999999,8.37227853953572,0.801701565099464,1.00456945141873,51,1
Branch4,PowerREV,Location4,69.0416655384098,1.86244079953198,0.3575,0.933347470131033,0.0324999999999999,5.15698973655785,0.688789105206322,1.00437645989263,51,0.986519607843137
