MethodIndex,MethodId,Branch,Estimator,StateCount,UniquePhaseCount,ObservationIndices,PhaseSetDeg,ResponseRecoverable,LocationIndex,Location,DoaValid,FailureReason,AzimuthDeg,ElevationDeg,Ux,Uy,Uz,AngularErrorDeg,PeakScore,FrequencyCount,ValidFraction
6,B4_K03_I01-02-05,Branch4,PowerREV,3,3,1/2/5,0/45/180,1,4,Location4,1,,69.3542321298258,1.28926383628796,0.3525,0.93554128717016,0.0224999999999999,4.62551860513631,0.430626787766763,21,0.895833333333333
7,B4_K03_I01-02-06,Branch4,PowerREV,3,3,1/2/6,0/45/225,1,1,Location1,1,,122.918407100617,-8.48207557796812,-0.5375,0.830263512386279,-0.1475,11.7303474321833,0.450096788529197,21,0.81547619047619
7,B4_K03_I01-02-06,Branch4,PowerREV,3,3,1/2/6,0/45/225,1,2,Location2,1,,143.332146689146,-4.15759167720182,-0.8,0.5956036853479,-0.0725,16.2683757672907,0.19373050881709,21,0.736607142857143
7,B4_K03_I01-02-06,Branch4,PowerREV,3,3,1/2/6,0/45/225,1,3,Location3,1,,95.8891367114247,2.57918105164837,-0.1025,0.993714622011773,0.0449999999999999,8.47525337559886,0.646522319816557,21,1
7,B4_K03_I01-02-06,Branch4,PowerREV,3,3,1/2/6,0/45/225,1,4,Location4,1,,69.3424098758504,2.29244277595588,0.3525,0.934956549792556,0.0399999999999999,5.6165691875335,0.445377000406771,21,0.895833333333333
8,B4_K03_I01-02-07,Branch4,PowerREV,3,3,1/2/7,0/45/270,1,1,Location1,1,,122.803648507146,-9.06181695393534,-0.535,0.830041414629415,-0.1575,11.9007118142778,0.407461337988815,21,0.800595238095238
8,B4_K03_I01-02-07,Branch4,PowerREV,3,3,1/2/7,0/45/270,1,2,Location2,1,,143.689163851075,-2.57918105164837,-0.805,0.591565719087913,-0.0449999999999999,16.5734899509356,0.198409833675794,21,0.677083333333333
8,B4_K03_I01-02-07,Branch4,PowerREV,3,3,1/2/7,0/45/270,1,3,Location3,1,,95.743782785421,2.29244277595588,-0.1,0.994183081730925,0.0399999999999999,8.16867893876482,0.597659048312904,21,1
8,B4_K03_I01-02-07,Branch4,PowerREV,3,3,1/2/7,0/45/270,1,4,Location4,1,,69.3424098758504,2.29244277595588,0.3525,0.934956549792556,0.0399999999999999,5.6165691875335,0.403519256229745,21,0.861607142857143
9,B4_K03_I01-02-08,Branch4,PowerREV,3,3,1/2/8,0/45/315,1,1,Location1,1,,122.287433264668,-9.06181695393534,-0.5275,0.834827826560663,-0.1575,11.4585053666458,0.275944821589855,21,0.75
9,B4_K03_I01-02-08,Branch4,PowerREV,3,3,1/2/8,0/45/315,1,2,Location2,1,,91.2894089274432,0.859468924835817,-0.0224999999999999,0.99963430813473,0.0149999999999999,35.9759644710292,0.237751940351551,21,0.607142857142857
9,B4_K03_I01-02-08,Branch4,PowerREV,3,3,1/2/8,0/45/315,1,3,Location3,1,,95.7443781502486,2.43580428350657,-0.1,0.99407934793959,0.0424999999999999,8.27165546653221,0.414063009847088,21,0.998511904761905
9,B4_K03_I01-02-08,Branch4,PowerREV,3,3,1/2/8,0/45/315,1,4,Location4,1,,68.5721017178298,2.43580428350657,0.365,0.930036961631096,0.0424999999999999,5.71288409233985,0.267956014458346,21,0.772321428571429
10,B4_K03_I01-02-09,Branch4,PowerREV,3,2,1/2/9,0/45/360,0,1,Location1,0,PowerDesignRankBelow3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
10,B4_K03_I01-02-09,Branch4,PowerREV,3,2,1/2/9,0/45/360,0,2,Location2,0,PowerDesignRankBelow3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
10,B4_K03_I01-02-09,Branch4,PowerREV,3,2,1/2/9,0/45/360,0,3,Location3,0,PowerDesignRankBelow3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
10,B4_K03_I01-02-09,Branch4,PowerREV,3,2,1/2/9,0/45/360,0,4,Location4,0,PowerDesignRankBelow3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
11,B4_K03_I01-03-04,Branch4,PowerREV,3,3,1/3/4,0/90/135,1,1,Location1,1,,122.602130784972,-8.7718331196937,-0.5325,0.83257882509706,-0.1525,11.5864848977824,0.377662643048973,21,0.766369047619048
