PipelineIndex,MethodIndex,MethodId,Branch,Estimator,StateCount,UniquePhaseCount,ObservationIndices,PhaseSetDeg,ResponseRecoverable,StationCount,Stations,LocalizationValid,FailureReason,EstimatedX_M,EstimatedY_M,EstimatedZ_M,ErrorM,RmsRayDistanceM,GeometryConditionNumber,MinimumForwardRangeM,AllRaysForward
34,4,B4_K03_I01-02-03,Branch4,PowerREV,3,3,1/2/3,0/45/90,1,2,L1-L2,1,,2.40227728146263,-1.73967847804555,1.83928271861966,5.40479815548017,0.128365346109401,12.3134008413941,-1.95780073648257,0
35,4,B4_K03_I01-02-03,Branch4,PowerREV,3,3,1/2/3,0/45/90,1,2,L1-L3,1,,-0.115820474755192,1.9542391310955,1.56080025000251,1.14326891154601,0.239591330817468,16.1040954860865,1.94724254613388,1
36,4,B4_K03_I01-02-03,Branch4,PowerREV,3,3,1/2/3,0/45/90,1,2,L1-L4,1,,-0.26777538781675,2.26774793026711,1.55162434692661,0.866295098506294,0.266665944259535,4.67335058257117,2.44509815561059,1
37,4,B4_K03_I01-02-03,Branch4,PowerREV,3,3,1/2/3,0/45/90,1,2,L2-L3,1,,2.19942125905927,-17.4779858333219,1.40205071137736,20.6854801534234,0.651030882466454,297.286393889321,-17.6061499552712,0
38,4,B4_K03_I01-02-03,Branch4,PowerREV,3,3,1/2/3,0/45/90,1,2,L2-L4,1,,2.29974257025706,8.87045101187397,1.86106971326774,6.23159699659458,0.310308105373202,27.4130130291138,8.97752393216603,1
39,4,B4_K03_I01-02-03,Branch4,PowerREV,3,3,1/2/3,0/45/90,1,2,L3-L4,1,,-0.258381173570502,2.44321159645845,1.8140468968838,0.764016703517564,0.00720820353252608,17.9780744546493,2.45995516429732,1
40,4,B4_K03_I01-02-03,Branch4,PowerREV,3,3,1/2/3,0/45/90,1,3,L1-L2-L3,1,,1.453581715183,-0.665617285886562,1.70826979663174,4.03248525216811,0.979229155385302,14.827655557021,-0.812940661413821,0
41,4,B4_K03_I01-02-03,Branch4,PowerREV,3,3,1/2/3,0/45/90,1,3,L1-L2-L4,1,,0.0251589948163347,2.19959399292216,1.57552515197802,0.893957426862023,1.40637167120239,5.09979052725583,2.32894761368634,1
42,4,B4_K03_I01-02-03,Branch4,PowerREV,3,3,1/2/3,0/45/90,1,3,L1-L3-L4,1,,-0.263544508864212,2.40038001432278,1.79970286733952,0.79677678272491,0.303537808397768,15.5027265049818,2.41726977015457,1
43,4,B4_K03_I01-02-03,Branch4,PowerREV,3,3,1/2/3,0/45/90,1,3,L2-L3-L4,1,,0.717451651524417,4.04577687923878,1.81487849501091,1.23587814196339,1.1897116043974,22.8400222611112,3.94941989477892,1
