Branch,Method,Estimator,StateRole,Location,StateCount,UniquePhaseCount,PhaseSetDeg,ValidFraction,TrainingFitNmseDb,HeldOutFitNmseDb,VsBranch1Coherence,VsBranch1ComplexNmseDb,VsBranch2Coherence,VsBranch2ComplexNmseDb,VsBranch3Coherence,VsBranch3ComplexNmseDb,VsBranch1PhaseRmseDeg,VsBranch1MagnitudeNrmse
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,Location1,3,3,0/90/180,0.822526236881559,-322.178138143404,-18.0066373861562,0.743868964589175,-3.50023946196254,0.632045076621262,-2.21473231997769,0.706578983671248,-3.0038238992297,39.0539489287244,0.447404339441991
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,Location1,4,4,0/90/180/270,0.867597451274363,-28.5017936757261,-19.8164405072617,0.848835796075565,-5.53652697612063,0.67295677391468,-2.61910122058324,0.819335655575646,-4.83214719567254,27.3216413381123,0.408300064033997
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,Location1,5,5,0/90/180/270/45,0.886322463768116,-26.3446829758594,-20.0853105079681,0.867104605966576,-6.05321420517602,0.687636216971581,-2.78060489237617,0.830289738268677,-5.07772051963242,25.1222704988976,0.369159670305919
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,Location1,6,6,0/90/180/270/45/135,0.899565842078961,-25.3596159300552,-20.1262939196995,0.889845209327608,-6.81570376401771,0.709099754134454,-3.03488499991927,0.848158925107537,-5.518714165842,21.8049715341349,0.353774214209038
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,Location1,7,7,0/90/180/270/45/135/225,0.91057596201899,-24.8170664465671,-20.0266406903225,0.902003430860844,-7.29577832706745,0.707285896261228,-3.01250098932418,0.873120183925615,-6.24041815926896,18.3722372092224,0.340381474861242
Branch4,PowerREV,PowerREV,CanonicalEightUniquePhases,Location1,8,8,0/90/180/270/45/135/225/315,0.925927661169415,-24.4119662552397,-20.5613571976591,0.91932161329815,-8.10095040931266,0.727317276451692,-3.26970260116645,0.888463512506401,-6.76474438300132,16.0559325903307,0.321098299555919
Branch4,PowerREV,PowerREV,EightUniquePhasesPlusClosureRepeat,Location1,9,8,0/90/180/270/45/135/225/315/360,0.933736256871564,-24.1095477982565,NaN,0.925958924015002,-8.45880258138007,0.747894960136556,-3.55903142074465,0.896642006829792,-7.07670566574504,16.417873201679,0.311951307035857
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,Location2,3,3,0/90/180,0.842110194902549,-322.080661166871,-13.4809283694161,0.590498996758675,-1.86211630416182,0.34186628321679,-0.539766187263907,0.482227746450101,-1.14946287559965,65.5985162110353,0.603886232220488
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,Location2,4,4,0/90/180/270,0.911934657671164,-23.7155475340753,-15.3689437336676,0.7252248293325,-3.24176813854126,0.35076558556563,-0.57018480007604,0.580566798209307,-1.78524339521515,51.4825017999194,0.545754370013309
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,Location2,5,5,0/90/180/270/45,0.926895927036482,-21.7712384419524,-15.5132253444823,0.753838962850755,-3.64790972919074,0.380074096913201,-0.677578121073669,0.640028100462476,-2.28880110839185,53.0699532345689,0.496217296999367
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,Location2,6,6,0/90/180/270/45/135,0.943731259370315,-20.8207203081769,-15.6557421105037,0.788521011042703,-4.2223872806054,0.384876861173083,-0.696267769580907,0.630162199031914,-2.19757883556009,47.0259835719271,0.4757839199839
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,Location2,7,7,0/90/180/270/45/135/225,0.957552473763118,-20.2363569426052,-15.8355068537156,0.82182124457911,-4.88638316785064,0.383473682279524,-0.690774778978302,0.669829090943577,-2.58589171679124,42.361736141478,0.423918261810166
Branch4,PowerREV,PowerREV,CanonicalEightUniquePhases,Location2,8,8,0/90/180/270/45/135/225/315,0.970186781609195,-19.8190633704239,-16.4888666752189,0.863932005537207,-5.95813950672708,0.414151040379368,-0.817185396149268,0.720371628060512,-3.177964941955,38.3195452468496,0.369550613088311
Branch4,PowerREV,PowerREV,EightUniquePhasesPlusClosureRepeat,Location2,9,8,0/90/180/270/45/135/225/315/360,0.975043728135932,-19.5419565965716,NaN,0.876170059702833,-6.33902135341189,0.450850557370569,-0.98686771952188,0.737438470814309,-3.40859473362567,37.8722788049922,0.356582059132725
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,Location3,3,3,0/90/180,1,-322.075428318747,-31.7431804693293,0.946327898181281,-9.81035389493615,0.864145124043063,-5.96445050496499,0.928220950672604,-8.58845500663019,17.7078582896617,0.236933673746916
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,Location3,4,4,0/90/180/270,1,-42.0822127489029,-33.5453892558902,0.976909024234108,-13.4057103062492,0.887576472885289,-6.73238237934983,0.957505585396063,-10.7996513923773,11.7197739135054,0.144149968203105
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,Location3,5,5,0/90/180/270/45,1,-39.9186808929829,-33.7585681317884,0.979126337271669,-13.8392781981593,0.89291794660015,-6.93151520637181,0.96197108010764,-11.2719340786892,10.4428203802853,0.139401504422673
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,Location3,6,6,0/90/180/270/45/135,1,-38.9562746998276,-33.9788549050236,0.984905806254368,-15.2345017766921,0.893309494965011,-6.94652616179504,0.966035069991465,-11.7537801554334,9.10898014245166,0.117650616674839
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,Location3,7,7,0/90/180/270/45/135/225,1,-38.4018697130366,-34.1897980343588,0.988834095022538,-16.535075157749,0.89698143073745,-7.09021406294041,0.970614894757352,-12.3727098847154,7.88447590318486,0.106602481254706
Branch4,PowerREV,PowerREV,CanonicalEightUniquePhases,Location3,8,8,0/90/180/270/45/135/225/315,1,-38.0197266461606,-34.7838246135381,0.992567975953792,-18.2947974769097,0.898897107996933,-7.1673498836382,0.973518163977165,-12.8181078000907,7.02042556832107,0.0860288437545799
Branch4,PowerREV,PowerREV,EightUniquePhasesPlusClosureRepeat,Location3,9,8,0/90/180/270/45/135/225/315/360,1,-37.7455326392095,NaN,0.991928432954634,-17.9376841066628,0.901540810753487,-7.27638094058605,0.975335999149713,-13.1229549478207,6.73621593451798,0.0900968791569641
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,Location4,3,3,0/90/180,0.931643553223388,-322.335442570801,-22.3102016353142,0.816025858798856,-4.76121187456211,0.60870875478284,-2.01022443626523,0.802297666392402,-4.4816168401853,44.8585424168787,0.380546675075639
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,Location4,4,4,0/90/180/270,0.963237131434283,-32.6865660994487,-24.1401815488346,0.908726259278148,-7.5891050182901,0.701413554356758,-2.94120022696667,0.876812243524076,-6.36011626244895,28.3175457824502,0.294994492587539
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,Location4,5,5,0/90/180/270/45,0.96875,-30.5358069521022,-24.3745413086341,0.929653563655757,-8.67278552597394,0.706921982461687,-3.00803083352487,0.894356999965198,-6.98697447158952,24.174342517398,0.253829614935725
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,Location4,6,6,0/90/180/270/45/135,0.97452836081959,-29.5845226955699,-24.5165007790557,0.941967432938398,-9.48086275606804,0.72483186069186,-3.23655087095629,0.909265413948506,-7.61360832316561,22.3833462049474,0.241106041359693
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,Location4,7,7,0/90/180/270/45/135/225,0.979026111944028,-29.0560579081561,-24.5607696228982,0.956199740682806,-10.6711012127064,0.738700492908066,-3.42636632271437,0.920403699762313,-8.15714584499805,18.3778455373855,0.203801173026862
Branch4,PowerREV,PowerREV,CanonicalEightUniquePhases,Location4,8,8,0/90/180/270/45/135/225/315,0.982399425287356,-28.6683793832302,-25.0181633419579,0.966669421818255,-11.8342578728135,0.746828287187086,-3.54334604166208,0.93738138271552,-9.16081404440344,14.5473266029197,0.193161437423082
Branch4,PowerREV,PowerREV,EightUniquePhasesPlusClosureRepeat,Location4,9,8,0/90/180/270/45/135/225/315/360,0.983789355322339,-28.3491829539004,NaN,0.967825876911478,-11.9850661379136,0.753803430693178,-3.64737087872598,0.940411271540905,-9.36942093009841,17.0659002616097,0.178662261232505
